Date|Price|Market Cap
2020-07-27|1|10009189490
2020-07-26|0,9989|9986931176
2020-07-25|0,9981|9978842678
2020-07-24|0,999|9988158017
2020-07-23|0,9982|9980086463
2020-07-22|1|10006992588
2020-07-21|0,9989|9177832940
2020-07-20|1|9193521415
2020-07-19|0,9984|9172850235
2020-07-18|0,9988|9176920912
2020-07-17|0,9996|9184467101
2020-07-16|1|9187808440
2020-07-15|0,9994|9182879622
2020-07-14|0,999|9179226233
2020-07-13|0,9996|9183872308
2020-07-12|0,9986|9175440524
2020-07-11|1|9197655630
2020-07-10|1|9187858531
2020-07-09|1|9216243182
2020-07-08|0,9999|9186701141
2020-07-07|0,9992|9180705693
2020-07-06|1|9190162858
2020-07-05|0,9989|9177873626
2020-07-04|1|9197892701
2020-07-03|0,9995|9183592661
2020-07-02|1,02|9332410549
2020-07-01|1|9202338339
2020-06-30|0,9999|9187111584
2020-06-29|1|9206224847
2020-06-28|1|9211095727
2020-06-27|1|9225029698
2020-06-26|0,999|9178402109
2020-06-25|1|9188929329
2020-06-24|1|9190776522
2020-06-23|1|9215902574
2020-06-22|0,9979|9168930430
2020-06-21|1|9200517082
2020-06-20|0,9989|9177740881
2020-06-19|0,9938|9131294353
2020-06-18|1|9206533321
2020-06-17|1|9191412080
2020-06-16|1|9191048183
2020-06-15|1|9208004587
2020-06-14|1,01|9238040026
2020-06-13|1|9207088207
2020-06-12|1|9216616643
2020-06-11|1|9193510455
2020-06-10|1|9201188636
2020-06-09|1|9219861825
2020-06-08|1|9207629723
2020-06-07|1|9215681004
2020-06-06|0,9993|9181588927
2020-06-05|1|9215795902
2020-06-04|1|9211044466
2020-06-03|1|9188046841
2020-06-02|0,9975|9165240437
2020-06-01|1|8807934628
2020-05-31|0,998|8780766210
2020-05-30|1|8801618923
2020-05-29|1|8827585611
2020-05-28|1|8808209446
2020-05-27|1|8838137762
2020-05-26|0,998|8780541726
2020-05-25|1|8826217018
2020-05-24|1|8807651948
2020-05-23|1,01|8846790751
2020-05-22|1|8818190632
2020-05-21|1|8815678128
2020-05-20|0,9989|8788814168
2020-05-19|0,996|8763040004
2020-05-18|1|8809951434
2020-05-17|1|8812055307
2020-05-16|1|8799772955
2020-05-15|1|8833010950
2020-05-14|0,9989|8788042863
2020-05-13|1|6362506770
2020-05-12|1|6365704844
2020-05-11|0,9984|6350624152
2020-05-10|1|6367741249
2020-05-09|1|6391680873
2020-05-08|1|6384977966
2020-05-07|1|6379446479
2020-05-06|1,02|6475090416
2020-05-05|1|6366478087
2020-05-04|1,01|6399889751
2020-05-03|1|6383346956
2020-05-02|1|6383156258
2020-05-01|1,01|6412791086
2020-04-30|1,01|6393551732
2020-04-29|1,01|6412700243
2020-04-28|1,01|6410789504
2020-04-27|1|6387052315
2020-04-26|1|6363019032
2020-04-25|1|6390799911
2020-04-24|1,01|6411491023
2020-04-23|0,9977|6346351412
2020-04-22|1|6366825027
2020-04-21|1,01|6402099231
2020-04-20|1|6391590599
2020-04-19|1,01|6410036078
2020-04-18|1|6365977429
2020-04-17|1,01|6403916828
2020-04-16|1|6378329269
2020-04-15|0,9995|6358033898
2020-04-14|0,9968|6340713383
2020-04-13|1|6363112437
2020-04-12|1,01|6412993320
2020-04-11|0,9981|6349047070
2020-04-10|1|6366075638
2020-04-09|1|6383075354
2020-04-08|0,9991|6355457832
2020-04-07|0,9986|6352309306
2020-04-06|0,9928|6315440480
2020-04-05|1|6183665131
2020-04-04|1|6191457723
2020-04-03|1|6176647943
2020-04-02|1|6170513908
2020-04-01|1|6195358201
2020-03-31|1|6184759500
2020-03-30|1,01|4672701419
2020-03-29|1|4651479473
2020-03-28|0,9997|4640992199
2020-03-27|1,01|4704194842
2020-03-26|0,9985|4635323589
2020-03-25|0,9986|4635839581
2020-03-24|1|4644563734
2020-03-23|0,9968|4627566696
2020-03-22|0,999|4637871717
2020-03-21|1|4646775524
2020-03-20|0,9976|4631022300
2020-03-19|1|4657190926
2020-03-18|0,9742|4522818938
2020-03-17|0,9761|4531625713
2020-03-16|0,997|4628458993
2020-03-15|1|4651590222
2020-03-14|1|4649890998
2020-03-13|0,9996|4640645554
2020-03-12|1,05|4891126961
2020-03-11|0,9988|4636825895
2020-03-10|1|4650355068
2020-03-09|0,999|4637946745
2020-03-08|1,01|4687746177
2020-03-07|1|4643212805
2020-03-06|0,9984|4635080377
2020-03-05|1|4654076714
2020-03-04|1|4645253483
2020-03-03|1|4653959468
2020-03-02|0,995|4619155547
2020-03-01|1|4644680725
2020-02-29|1,01|4671931514
2020-02-28|0,9971|4628852894
2020-02-27|0,9984|4635002129
2020-02-26|1|4655096434
2020-02-25|1|4649118780
2020-02-24|0,9988|4636796514
2020-02-23|0,998|4633159673
2020-02-22|1|4650857755
2020-02-21|1|4656933338
2020-02-20|1|4654409109
2020-02-19|1|4648512399
2020-02-18|1|4645888803
2020-02-17|0,9985|4635284711
2020-02-16|0,9993|4638989017
2020-02-15|0,9991|4638318811
2020-02-14|1|4642896605
2020-02-13|0,9986|4635769301
2020-02-12|1|4654247429
2020-02-11|0,9984|4635044755
2020-02-10|1|4645339056
2020-02-09|1|4649204340
2020-02-08|0,9995|4640205613
2020-02-07|0,9978|4631927116
2020-02-06|0,9972|4629443566
2020-02-05|1|4655543935
2020-02-04|1|4650469195
2020-02-03|0,9989|4637320450
2020-02-02|1|4644893208
2020-02-01|1|4648011884
2020-01-31|1|4645374934
2020-01-30|1|4649109251
2020-01-29|1|4653027307
2020-01-28|1|4645895399
2020-01-27|1|4651188602
2020-01-26|1|4644708262
2020-01-25|1|4652175067
2020-01-24|1|4656155507
2020-01-23|0,9984|4634979849
2020-01-22|1|4645128570
2020-01-21|1|4648951979
2020-01-20|1|4640395834
2020-01-19|0,9985|4630413451
2020-01-18|1|4649919502
2020-01-17|1|4650379638
2020-01-16|0,9992|4633460370
2020-01-15|0,9997|4631431380
2020-01-14|1|4635105703
2020-01-13|1|4642166645
2020-01-12|1|4637604060
2020-01-11|1|4626484305
2020-01-10|1|4632826679
2020-01-09|1,01|4641371711
2020-01-08|1|4630671670
2020-01-07|1|4633564969
2020-01-06|1|4639019503
2020-01-05|1,01|4133500728
2020-01-04|1,01|4138741037
2020-01-03|1|4125267218
2020-01-02|1|4114474717
2020-01-01|0,9998|4107371140
2019-12-31|0,9997|4106723975
2019-12-30|1,01|4133411934
