Date|Price|Market Cap
2020-09-26|1|2507815540
2020-09-25|1|2506048555
2020-09-24|1|2458968633
2020-09-23|1|2414047115
2020-09-22|1|2391425432
2020-09-21|1|2392455439
2020-09-20|1|2322713232
2020-09-19|1|2283061091
2020-09-18|0,9996|2174402254
2020-09-17|1|2105065446
2020-09-16|0,998|2072382608
2020-09-15|1|2053604297
2020-09-14|1|2016445230
2020-09-13|1|1994741743
2020-09-12|1|1954647247
2020-09-11|1|1914163368
2020-09-10|1|1849355010
2020-09-09|1|1833586722
2020-09-08|1|1792973167
2020-09-07|1|1769299041
2020-09-06|1|1727361031
2020-09-05|1|1693485928
2020-09-04|1|1651416930
2020-09-03|1|1585650700
2020-09-02|1|1517343081
2020-09-01|1|1518200792
2020-08-31|1|1477273807
2020-08-30|1|1468810608
2020-08-29|1|1462877800
2020-08-28|1|1421662668
2020-08-27|1|1420883229
2020-08-26|1|1396655208
2020-08-25|1|1377477104
2020-08-24|1|1357585347
2020-08-23|0,9995|1349648003
2020-08-22|0,9999|1331176244
2020-08-21|1|1335178620
2020-08-20|0,9997|1302241541
2020-08-19|1|1273150065
2020-08-18|1|1246911370
2020-08-17|0,998|1215397976
2020-08-16|0,9993|1198189664
2020-08-15|0,999|1197863955
2020-08-14|0,9996|1201606199
2020-08-13|1,01|1180454549
2020-08-12|1|1152688473
2020-08-11|1|1131156086
2020-08-10|1|1121666086
2020-08-09|1|1145141853
2020-08-08|0,9994|1144064510
2020-08-07|1|1106792798
2020-08-06|1|1090447408
2020-08-05|1|1075606972
2020-08-04|1|1076313037
2020-08-03|1|1077457871
2020-08-02|0,9974|1087685515
2020-08-01|0,9964|1078234135
2020-07-31|1,01|1082806731
2020-07-30|0,9998|1142044574
2020-07-29|1|1161180228
2020-07-28|0,9986|1163349096
2020-07-27|0,9985|1166129892
2020-07-26|0,9974|1159911791
2020-07-25|0,9978|1101566231
2020-07-24|0,9981|1102545969
2020-07-23|0,9977|1105697237
2020-07-22|1|1114093010
2020-07-21|0,9975|1110501461
2020-07-20|0,9988|1118591918
2020-07-19|0,9971|1116663727
2020-07-18|0,9976|1117249849
2020-07-17|0,9992|1099898433
2020-07-16|0,9999|1099136354
2020-07-15|0,9995|1101510122
2020-07-14|0,9988|1095116621
2020-07-13|1|1103604872
2020-07-12|0,9982|1100023054
2020-07-11|1|1102870101
2020-07-10|0,9999|1093299428
2020-07-09|1|1096247771
2020-07-08|0,9992|1061787659
2020-07-07|1|1038804929
2020-07-06|0,9992|1039654962
2020-07-05|0,9978|1029539265
2020-07-04|0,9996|1031489116
2020-07-03|1|1032048962
2020-07-02|1,01|997225800
2020-07-01|1|927221552
2020-06-30|0,9997|926644568
2020-06-29|0,9994|926367159
2020-06-28|1|929618326
2020-06-27|1|930464300
2020-06-26|0,9998|926770867
2020-06-25|1|926977218
2020-06-24|1|928547024
2020-06-23|1|928751866
2020-06-22|0,9962|923388584
2020-06-21|1|733862362
